Timestamp,Vibracao,Ruido,Status
492,2078,1441,NORMAL
2492,2078,1441,NORMAL
4493,2078,1441,NORMAL
6494,2078,1441,NORMAL
8495,2078,1441,NORMAL
10496,2078,1441,NORMAL
12497,2078,1441,NORMAL
14498,0,1441,NORMAL
16499,1229,1441,NORMAL
18500,969,1441,NORMAL
20501,1697,1441,NORMAL
22502,1697,2122,NORMAL
24503,500,2122,NORMAL
26504,500,2122,NORMAL
28505,0,2122,NORMAL
30506,0,2122,NORMAL
32507,0,2122,NORMAL
34508,4095,2122,NORMAL
36509,969,2122,NORMAL
38510,168,2122,NORMAL
40511,0,2122,NORMAL
42512,0,2122,NORMAL
44513,0,2122,NORMAL
46514,0,348,ALERTA_FALHA_SUBITA
48515,0,2550,NORMAL
50516,0,2502,NORMAL
52517,1517,2502,NORMAL
54518,1517,2502,NORMAL
56519,1517,2502,NORMAL
58520,1517,136,NORMAL
60521,1517,1577,NORMAL
62522,1517,2442,NORMAL
64523,1517,2442,NORMAL
66524,1517,0,NORMAL
68525,1517,0,NORMAL
70526,1517,0,NORMAL
72527,1517,0,NORMAL
74528,1517,3579,NORMAL
76529,2730,3579,NORMAL
78530,3154,3579,ALERTA_SOBRECARGA
80531,2366,3579,NORMAL
82532,2366,3579,NORMAL
84533,4095,3579,ALERTA_SOBRECARGA
86534,3018,3579,ALERTA_SOBRECARGA
88535,3018,3579,ALERTA_SOBRECARGA
90536,1561,3579,NORMAL
92537,1561,364,NORMAL
94538,1561,168,NORMAL
96539,272,168,ALERTA_FALHA_SUBITA
98540,1333,168,NORMAL
100541,1333,168,NORMAL
102542,1333,168,NORMAL
104543,244,168,ALERTA_FALHA_SUBITA
106544,180,168,ALERTA_FALHA_SUBITA
108545,2050,168,NORMAL
